YEAR,EMP_ID,Q_CATEGORY,Q_NO, ANSWER, MOD_ANSWER, MOD_ANSWER_2
2024,10001,A,1,1,4,1
2024,10001,A,2,2,3,2
2024,10001,A,3,3,2,3
2024,10001,A,4,2,3,2
2024,10001,A,5,1,4,1
2024,10001,A,6,3,2,3
2024,10001,A,7,4,1,4
2024,10001,A,8,3,3,3
2024,10001,A,9,4,4,4
2024,10001,A,10,3,3,3
2024,10001,A,11,3,2,3
2024,10001,A,12,2,3,2
2024,10001,A,13,4,1,4
2024,10001,A,14,4,4,1
2024,10001,A,15,2,3,3
2024,10001,A,16,3,3,3
2024,10001,A,17,1,1,1
2024,10001,B,1,2,3,3
2024,10001,B,2,3,2,2
2024,10001,B,3,3,3,3
2024,10001,B,4,4,4,4
2024,10001,B,5,1,1,1
2024,10001,B,6,4,4,4
2024,10001,B,7,4,4,4
2024,10001,B,8,2,2,2
2024,10001,B,9,3,3,3
2024,10001,B,10,4,4,4
2024,10001,B,11,3,3,3
2024,10001,B,12,1,1,1
2024,10001,B,13,3,3,3
2024,10001,B,14,2,2,2
2024,10001,B,15,4,4,4
2024,10001,B,16,4,4,4
2024,10001,B,17,1,1,1
2024,10001,B,18,3,3,3
2024,10001,B,19,2,2,2
2024,10001,B,20,4,4,4
2024,10001,B,21,4,4,4
2024,10001,B,22,1,1,1
2024,10001,B,23,2,2,2
2024,10001,B,24,4,4,4
2024,10001,B,25,3,3,3
2024,10001,B,26,4,4,4
2024,10001,B,27,2,2,2
2024,10001,B,28,3,3,3
2024,10001,B,29,1,1,1
2024,10001,C,1,3,3,3
2024,10001,C,2,4,4,4
2024,10001,C,3,1,1,1
2024,10001,C,4,2,2,2
2024,10001,C,5,3,3,3
2024,10001,C,6,4,4,4
2024,10001,C,7,4,4,4
2024,10001,C,8,1,1,1
2024,10001,C,9,2,2,2
2024,10001,D,1,1,1,1
2024,10001,D,2,3,3,3
2024,10002,A,1,4,1,1
2024,10002,A,2,3,2,2
2024,10002,A,3,1,4,4
2024,10002,A,4,2,3,3
2024,10002,A,5,4,1,1
2024,10002,A,6,4,1,1
2024,10002,A,7,3,2,2
2024,10002,A,8,1,1,1
2024,10002,A,9,4,4,4
2024,10002,A,10,3,3,3
2024,10002,A,11,2,3,3
2024,10002,A,12,4,1,1
2024,10002,A,13,3,2,2
2024,10002,A,14,1,1,4
2024,10002,A,15,4,1,1
2024,10002,A,16,3,3,3
2024,10002,A,17,2,2,2
2024,10002,B,1,3,2,2
2024,10002,B,2,4,1,1
2024,10002,B,3,3,2,2
2024,10002,B,4,3,3,3
2024,10002,B,5,4,4,4
2024,10002,B,6,4,4,4
2024,10002,B,7,2,2,2
2024,10002,B,8,4,4,4
2024,10002,B,9,3,3,3
2024,10002,B,10,4,4,4
2024,10002,B,11,3,3,3
2024,10002,B,12,1,1,1
2024,10002,B,13,4,4,4
2024,10002,B,14,3,3,3
2024,10002,B,15,2,2,2
2024,10002,B,16,4,4,4
2024,10002,B,17,3,3,3
2024,10002,B,18,1,1,1
2024,10002,B,19,2,2,2
2024,10002,B,20,4,4,4
2024,10002,B,21,3,3,3
2024,10002,B,22,1,1,1
2024,10002,B,23,4,4,4
2024,10002,B,24,3,3,3
2024,10002,B,25,1,1,1
2024,10002,B,26,4,4,4
2024,10002,B,27,3,3,3
2024,10002,B,28,1,1,1
2024,10002,B,29,4,4,4
2024,10002,C,1,3,3,3
2024,10002,C,2,1,1,1
2024,10002,C,3,4,4,4
2024,10002,C,4,3,3,3
2024,10002,C,5,4,4,4
2024,10002,C,6,3,3,3
2024,10002,C,7,1,1,1
2024,10002,C,8,4,4,4
2024,10002,C,9,3,3,3
2024,10002,D,1,1,1,1
2024,10002,D,2,4,4,4
2024,10003,A,1,4,4,4
2024,10003,A,2,1,4,4
2024,10003,A,3,4,1,1
2024,10003,A,4,2,3,3
2024,10003,A,5,4,1,1
2024,10003,A,6,1,4,4
2024,10003,A,7,4,1,1
2024,10003,A,8,1,1,1
2024,10003,A,9,4,4,4
2024,10003,A,10,2,2,2
2024,10003,A,11,4,1,1
2024,10003,A,12,3,2,2
2024,10003,A,13,1,4,4
2024,10003,A,14,4,4,1
2024,10003,A,15,3,2,2
2024,10003,A,16,1,1,1
2024,10003,A,17,4,4,4
2024,10003,B,1,3,2,2
2024,10003,B,2,1,4,4
2024,10003,B,3,4,1,1
2024,10003,B,4,3,3,3
2024,10003,B,5,1,1,1
2024,10003,B,6,4,4,4
2024,10003,B,7,3,3,3
2024,10003,B,8,1,1,1
2024,10003,B,9,4,4,4
2024,10003,B,10,3,3,3
2024,10003,B,11,4,4,4
2024,10003,B,12,4,4,4
2024,10003,B,13,4,4,4
2024,10003,B,14,4,4,4
2024,10003,B,15,4,4,4
2024,10003,B,16,4,4,4
2024,10003,B,17,4,4,4
2024,10003,B,18,3,3,3
2024,10003,B,19,2,2,2
2024,10003,B,20,3,3,3
2024,10003,B,21,4,4,4
2024,10003,B,22,4,4,4
2024,10003,B,23,2,2,2
2024,10003,B,24,4,4,4
2024,10003,B,25,3,3,3
2024,10003,B,26,4,4,4
2024,10003,B,27,2,2,2
2024,10003,B,28,1,1,1
2024,10003,B,29,3,3,3
2024,10003,C,1,4,4,4
2024,10003,C,2,4,4,4
2024,10003,C,3,4,4,4
2024,10003,C,4,4,4,4
2024,10003,C,5,4,4,4
2024,10003,C,6,3,3,3
2024,10003,C,7,2,2,2
2024,10003,C,8,1,1,1
2024,10003,C,9,4,4,4
2024,10003,D,1,3,3,3
2024,10003,D,2,4,4,4
2024,10004,A,1,4,1,1
2024,10004,A,2,4,1,1
2024,10004,A,3,4,1,1
2024,10004,A,4,4,1,1
2024,10004,A,5,2,3,3
2024,10004,A,6,3,2,2
2024,10004,A,7,1,4,4
2024,10004,A,8,4,4,4
2024,10004,A,9,4,4,4
2024,10004,A,10,1,1,1
2024,10004,A,11,2,3,3
2024,10004,A,12,4,1,1
2024,10004,A,13,3,2,2
2024,10004,A,14,4,4,1
2024,10004,A,15,4,1,1
2024,10004,A,16,4,4,4
2024,10004,A,17,4,4,4
2024,10004,B,1,4,1,1
2024,10004,B,2,3,2,2
2024,10004,B,3,2,3,3
2024,10004,B,4,4,4,4
2024,10004,B,5,3,3,3
2024,10004,B,6,1,1,1
2024,10004,B,7,4,4,4
2024,10004,B,8,2,2,2
2024,10004,B,9,4,4,4
2024,10004,B,10,3,3,3
2024,10004,B,11,4,4,4
2024,10004,B,12,3,3,3
2024,10004,B,13,4,4,4
2024,10004,B,14,4,4,4
2024,10004,B,15,4,4,4
2024,10004,B,16,4,4,4
2024,10004,B,17,1,1,1
2024,10004,B,18,4,4,4
2024,10004,B,19,3,3,3
2024,10004,B,20,4,4,4
2024,10004,B,21,4,4,4
2024,10004,B,22,4,4,4
2024,10004,B,23,4,4,4
2024,10004,B,24,1,1,1
2024,10004,B,25,4,4,4
2024,10004,B,26,4,4,4
2024,10004,B,27,2,2,2
2024,10004,B,28,4,4,4
2024,10004,B,29,4,4,4
2024,10004,C,1,1,1,1
2024,10004,C,2,4,4,4
2024,10004,C,3,4,4,4
2024,10004,C,4,2,2,2
2024,10004,C,5,4,4,4
2024,10004,C,6,1,1,1
2024,10004,C,7,4,4,4
2024,10004,C,8,4,4,4
2024,10004,C,9,3,3,3
2024,10004,D,1,1,1,1
2024,10004,D,2,4,4,4
